province,year,week,n,mu,sd,p50,z
Anhui,2010,25,2194,306.4,674.1238264097578,65.5,2.8000790449033106
Anhui,2012,39,148,26.5,43.5590276393871,13.0,2.7893184624290566
Beijing,2013,31,33,9.5,8.834905520465714,7.5,2.659903939613521
Beijing,2013,35,45,10.9,13.067772062087197,6.0,2.609473125027367
Chongqing,2018,32,111,38.6,29.405970671125807,30.5,2.462085023810852
Chongqing,2018,23,60,12.375,19.624601906790364,6.5,2.426800820021788
Fujian,2010,44,77,24.1,19.823947358911365,18.0,2.6684897332629425
Fujian,2011,9,450,88.3,137.79376699336666,24.5,2.6249373095185944
Gansu,2019,14,139,26.6,40.27461290247796,12.5,2.7908399832958892
Gansu,2019,13,121,31.6,32.18419211697292,23.0,2.7777611963996844
Guangdong,2013,10,1277,177.22222222222223,415.6512293310877,5.0,2.645914892511356
Guangdong,2015,16,510,102.0,155.27466703304253,33.0,2.6276018348387593
Guangxi,2010,8,1745,227.0,534.6957598069724,76.5,2.8389976396072503
Guangxi,2013,10,2115,288.7,653.816326569541,30.0,2.7932921308072465
Guizhou,2010,8,2655,327.1,822.9243856178066,29.5,2.8288139720787835
Guizhou,2015,16,314,58.4,93.02831110294686,24.0,2.7475506861255203
Hainan,2015,16,57,10.6,17.25108692227826,4.0,2.689685595408976
Hainan,2015,14,163,34.44444444444444,49.583543416921884,15.0,2.5927061015909985
Hebei,2019,4,173,36.7,49.2207047671788,25.5,2.769159861580998
Hebei,2019,3,49,16.8,11.764352935882194,13.0,2.737082113695135
Heilongjiang,2013,19,1265,250.5,367.57047699122353,146.0,2.7600149182389946
Heilongjiang,2010,26,370,84.5,104.2350442243128,48.0,2.7390020518013767
Henan,2013,10,720,104.5,217.61038067559593,29.5,2.8284496267554466
Henan,2010,45,47,12.7,13.0813692793309,8.5,2.622049669845756
HongKong,2010,51,1,1.0,,1.0,0.0
HongKong,2011,13,1,1.0,,1.0,0.0
Hubei,2013,10,711,119.1,212.86325814162166,33.0,2.7806583680411325
Hubei,2019,37,60,16.1,16.10003450651927,13.5,2.7267022304967043
Hunan,2013,32,350,58.8,103.54687612649431,25.0,2.812252874188749
Hunan,2012,13,1345,235.1,421.8860957388591,54.0,2.6308048812469296
Jiangsu,2010,43,398,55.9,121.78619699201457,12.5,2.809021124310428
Jiangsu,2010,44,300,45.9,90.50408216698784,15.0,2.807608164360626
Jiangxi,2013,43,166,48.55555555555556,46.163056417202036,35.0,2.5441219355805127
Jiangxi,2014,4,1310,223.9,431.99291403653575,24.0,2.514161609391915
Jilin,2013,19,144,30.3,41.02316418805356,18.0,2.7716048298661176
Jilin,2019,8,962,133.66666666666666,312.1506046766528,27.0,2.653633601611563
Liaoning,2014,46,529,90.6,158.1941142324131,36.0,2.771278831246012
Liaoning,2019,3,91,20.5,25.859664000567026,15.0,2.7262535197075315
NULL,2010,13,1,1.0,,1.0,0.0
NULL,2010,16,1,1.0,0.0,1.0,0.0
Neimenggu,2010,26,257,72.9,66.81392070519436,55.5,2.7554138128237007
Neimenggu,2019,8,576,137.6,159.47497191304555,103.0,2.749020706766699
Ningxia,2019,14,70,10.0,22.522211259110417,2.0,2.664036817243223
Ningxia,2015,3,18,4.555555555555555,5.174724898753341,3.0,2.5980983931500177
Qinghai,2011,41,41,13.1,10.545667883596142,8.5,2.6456361330512443
Qinghai,2016,22,29,6.6,8.656404180335697,2.5,2.5876795414526637
Shandong,2019,3,42,8.2,12.24563414264674,4.0,2.760167387517144
Shandong,2019,44,74,24.5,18.038538989865252,19.5,2.7441246781577493
Shanghai,2011,15,30,7.333333333333333,9.340770846134703,3.0,2.4266376983272577
Shanghai,2014,11,7,2.8,1.8135294011647258,3.0,2.3159260595954945
Shanxi,2013,10,835,208.9,234.10655218890773,143.5,2.6744232237241308
Shanxi,2012,24,239,82.9,58.38274098091357,67.0,2.673735377567012
Sichuan,2014,16,409,90.4,115.51161557753979,48.0,2.7581641760185804
Sichuan,2013,9,336,99.8,88.67518756049456,81.5,2.663653796490291
Tianjin,2019,17,34,7.8,9.600925881277169,5.5,2.728903474933891
Tianjin,2015,41,30,7.7,8.179242018671413,6.0,2.726414006223804
Xinjiang,2014,14,816,186.4,233.50764917283166,114.0,2.696271416505071
Xinjiang,2013,43,406,114.5,108.11439414907815,77.5,2.696218226021345
Xizang,2015,47,13,4.1,3.414023367751831,3.0,2.6068948689887677
Xizang,2017,7,23,5.333333333333333,6.782329983125267,3.0,2.60480789206985
Yunnan,2010,1,655,141.7,189.64062504291286,81.0,2.7066985245584787
Yunnan,2010,8,1770,420.7,506.07049355247386,217.0,2.666229343916674
Zhejiang,2011,16,215,45.3,61.820618638839974,27.5,2.7450388517041264
Zhejiang,2012,14,254,58.1,71.9126785298207,40.5,2.7241371619715755
