province,week,med,p25,p75
Anhui,24,572.5,60.75,1711.75
Beijing,30,27.0,5.0,30.5
Chongqing,30,50.0,26.25,76.5
Fujian,8,101.0,7.0,135.0
Gansu,43,47.0,40.0,54.0
Guangdong,3,163.5,34.75,239.25
Guangxi,6,175.0,100.0,294.0
Guizhou,6,119.0,8.25,318.75
Hainan,12,19.5,5.0,23.75
Hebei,24,281.0,188.25,367.75
Heilongjiang,43,2357.0,866.5,3401.25
Henan,24,399.0,66.75,848.25
HongKong,13,1.0,1.0,1.0
Hubei,7,88.0,58.0,146.0
Hunan,7,224.5,70.5,352.25
Jiangsu,24,207.5,70.5,497.0
Jiangxi,5,160.5,23.25,334.0
Jilin,44,346.0,157.25,1113.25
Liaoning,14,203.0,99.75,296.5
NULL,1,1.0,1.0,1.0
Neimenggu,43,530.5,317.5,811.75
Ningxia,43,35.0,18.5,105.75
Qinghai,23,16.0,6.0,28.0
Shandong,24,471.5,226.75,539.5
Shanghai,18,28.0,15.75,42.75
Shanxi,44,222.0,116.5,344.0
Sichuan,4,111.5,57.25,191.25
Tianjin,24,24.0,14.0,28.5
Xinjiang,15,217.0,94.25,280.75
Xizang,8,7.0,5.25,9.0
Yunnan,6,467.5,349.25,550.5
Zhejiang,33,131.5,41.25,176.5
