,total_pre,rate_pre,total_post,rate_post,rate_diff,plot_diff
2,6.0,0.1667,0.0,0.0,-0.1667,
16,536.0,0.0019,0.0,0.0,-0.0019,
17,4.0,0.0,0.0,0.0,0.0,
19,16.0,0.3125,0.0,0.0,-0.3125,
46,9.0,0.0,0.0,0.0,0.0,
61,12.0,0.1667,0.0,0.0,-0.1667,
78,8.0,0.0,0.0,0.0,0.0,
86,304.0,0.0461,0.0,0.0,-0.0461,
95,330.0,0.0455,0.0,0.0,-0.0455,
102,24.0,0.0417,0.0,0.0,-0.0417,
115,34.0,0.0294,0.0,0.0,-0.0294,
125,22.0,0.0909,0.0,0.0,-0.0909,
197,1.0,0.0,0.0,0.0,0.0,
288,6.0,0.0,0.0,0.0,0.0,
289,10.0,0.0,0.0,0.0,0.0,
310,0.0,0.0,0.0,0.0,0.0,
332,1.0,0.0,0.0,0.0,0.0,
352,9.0,0.1111,0.0,0.0,-0.1111,
380,74.0,0.0,0.0,0.0,0.0,
413,7.0,0.0,0.0,0.0,0.0,
486,236.0,0.1186,0.0,0.0,-0.1186,
487,15.0,0.0,0.0,0.0,0.0,
494,159.0,0.0943,0.0,0.0,-0.0943,
504,206.0,0.1553,0.0,0.0,-0.1553,
619,8.0,0.0,0.0,0.0,0.0,
621,26.0,0.0385,0.0,0.0,-0.0385,
685,1.0,0.0,0.0,0.0,0.0,
694,5.0,0.0,0.0,0.0,0.0,
712,46.0,0.1304,0.0,0.0,-0.1304,
713,432.0,0.0,0.0,0.0,0.0,
719,298.0,0.0369,0.0,0.0,-0.0369,
742,100.0,0.05,0.0,0.0,-0.05,
812,21.0,0.0476,0.0,0.0,-0.0476,
813,1.0,0.0,0.0,0.0,0.0,
830,267.0,0.1685,0.0,0.0,-0.1685,
846,91.0,0.0,0.0,0.0,0.0,
852,5.0,0.2,0.0,0.0,-0.2,
861,1.0,0.0,0.0,0.0,0.0,
1027,21.0,0.0,0.0,0.0,0.0,
1029,10.0,0.0,0.0,0.0,0.0,
1057,78.0,0.1154,0.0,0.0,-0.1154,
1092,0.0,0.0,0.0,0.0,0.0,
1149,29.0,0.0,0.0,0.0,0.0,
1150,3.0,0.0,0.0,0.0,0.0,
1202,12.0,0.0,0.0,0.0,0.0,
1215,14.0,0.0,0.0,0.0,0.0,
1221,145.0,0.0483,0.0,0.0,-0.0483,
1231,0.0,0.0,0.0,0.0,0.0,
1321,1.0,0.0,0.0,0.0,0.0,
