county_id,agri_pre,total_pre,rate_pre,agri_post,total_post,rate_post,rate_diff,z,p_value
2,1,6,0.16666666666666666,0.0,0.0,0.0,-0.16666666666666666,,
16,1,536,0.0018656716417910447,0.0,0.0,0.0,-0.0018656716417910447,,
17,0,4,0.0,0.0,0.0,0.0,0.0,,
19,5,16,0.3125,0.0,0.0,0.0,-0.3125,,
46,0,9,0.0,0.0,0.0,0.0,0.0,,
61,2,12,0.16666666666666666,0.0,0.0,0.0,-0.16666666666666666,,
78,0,8,0.0,0.0,0.0,0.0,0.0,,
86,14,304,0.046052631578947366,0.0,0.0,0.0,-0.046052631578947366,,
95,15,330,0.045454545454545456,0.0,0.0,0.0,-0.045454545454545456,,
102,1,24,0.041666666666666664,0.0,0.0,0.0,-0.041666666666666664,,
115,1,34,0.029411764705882353,0.0,0.0,0.0,-0.029411764705882353,,
125,2,22,0.09090909090909091,0.0,0.0,0.0,-0.09090909090909091,,
197,0,1,0.0,0.0,0.0,0.0,0.0,,
288,0,6,0.0,0.0,0.0,0.0,0.0,,
289,0,10,0.0,0.0,0.0,0.0,0.0,,
332,0,1,0.0,0.0,0.0,0.0,0.0,,
352,1,9,0.1111111111111111,0.0,0.0,0.0,-0.1111111111111111,,
380,0,74,0.0,0.0,0.0,0.0,0.0,,
413,0,7,0.0,0.0,0.0,0.0,0.0,,
486,28,236,0.11864406779661017,0.0,0.0,0.0,-0.11864406779661017,,
487,0,15,0.0,0.0,0.0,0.0,0.0,,
494,15,159,0.09433962264150944,0.0,0.0,0.0,-0.09433962264150944,,
504,32,206,0.1553398058252427,0.0,0.0,0.0,-0.1553398058252427,,
619,0,8,0.0,0.0,0.0,0.0,0.0,,
621,1,26,0.038461538461538464,0.0,0.0,0.0,-0.038461538461538464,,
685,0,1,0.0,0.0,0.0,0.0,0.0,,
694,0,5,0.0,0.0,0.0,0.0,0.0,,
712,6,46,0.13043478260869565,0.0,0.0,0.0,-0.13043478260869565,,
713,0,432,0.0,0.0,0.0,0.0,0.0,,
719,11,298,0.03691275167785235,0.0,0.0,0.0,-0.03691275167785235,,
742,5,100,0.05,0.0,0.0,0.0,-0.05,,
812,1,21,0.047619047619047616,0.0,0.0,0.0,-0.047619047619047616,,
813,0,1,0.0,0.0,0.0,0.0,0.0,,
830,45,267,0.16853932584269662,0.0,0.0,0.0,-0.16853932584269662,,
846,0,91,0.0,0.0,0.0,0.0,0.0,,
852,1,5,0.2,0.0,0.0,0.0,-0.2,,
861,0,1,0.0,0.0,0.0,0.0,0.0,,
1027,0,21,0.0,0.0,0.0,0.0,0.0,,
1029,0,10,0.0,0.0,0.0,0.0,0.0,,
1057,9,78,0.11538461538461539,0.0,0.0,0.0,-0.11538461538461539,,
1149,0,29,0.0,0.0,0.0,0.0,0.0,,
1150,0,3,0.0,0.0,0.0,0.0,0.0,,
1202,0,12,0.0,0.0,0.0,0.0,0.0,,
1215,0,14,0.0,0.0,0.0,0.0,0.0,,
1221,7,145,0.04827586206896552,0.0,0.0,0.0,-0.04827586206896552,,
1321,0,1,0.0,0.0,0.0,0.0,0.0,,
1347,7,53,0.1320754716981132,0.0,0.0,0.0,-0.1320754716981132,,
1373,4,85,0.047058823529411764,0.0,0.0,0.0,-0.047058823529411764,,
1391,1,23,0.043478260869565216,0.0,0.0,0.0,-0.043478260869565216,,
1394,0,13,0.0,0.0,0.0,0.0,0.0,,
1402,0,6,0.0,0.0,0.0,0.0,0.0,,
1407,0,1,0.0,0.0,0.0,0.0,0.0,,
1423,2,5,0.4,0.0,0.0,0.0,-0.4,,
1452,4,70,0.05714285714285714,0.0,0.0,0.0,-0.05714285714285714,,
1456,16,792,0.020202020202020204,0.0,0.0,0.0,-0.020202020202020204,,
1460,0,2,0.0,0.0,0.0,0.0,0.0,,
1463,0,59,0.0,0.0,0.0,0.0,0.0,,
1513,1,1,1.0,0.0,0.0,0.0,-1.0,,
1600,0,26,0.0,0.0,0.0,0.0,0.0,,
1614,4,45,0.08888888888888889,0.0,0.0,0.0,-0.08888888888888889,,
1645,1,24,0.041666666666666664,0.0,0.0,0.0,-0.041666666666666664,,
1672,0,29,0.0,0.0,0.0,0.0,0.0,,
1766,0,34,0.0,0.0,0.0,0.0,0.0,,
1825,42,184,0.22826086956521738,0.0,0.0,0.0,-0.22826086956521738,,
1852,4,10,0.4,0.0,0.0,0.0,-0.4,,
1859,0,22,0.0,0.0,0.0,0.0,0.0,,
1882,19,171,0.1111111111111111,0.0,0.0,0.0,-0.1111111111111111,,
1886,2,54,0.037037037037037035,0.0,0.0,0.0,-0.037037037037037035,,
1895,1,149,0.006711409395973154,0.0,0.0,0.0,-0.006711409395973154,,
1898,0,25,0.0,0.0,0.0,0.0,0.0,,
1917,0,198,0.0,0.0,0.0,0.0,0.0,,
1931,0,2,0.0,0.0,0.0,0.0,0.0,,
1957,0,10,0.0,0.0,0.0,0.0,0.0,,
1967,0,38,0.0,0.0,0.0,0.0,0.0,,
1976,17,138,0.12318840579710146,0.0,0.0,0.0,-0.12318840579710146,,
2023,8,34,0.23529411764705882,0.0,0.0,0.0,-0.23529411764705882,,
2093,0,44,0.0,0.0,0.0,0.0,0.0,,
2094,13,419,0.031026252983293555,0.0,0.0,0.0,-0.031026252983293555,,
2200,0,5,0.0,0.0,0.0,0.0,0.0,,
2270,2,48,0.041666666666666664,0.0,0.0,0.0,-0.041666666666666664,,
2333,8,316,0.02531645569620253,0.0,0.0,0.0,-0.02531645569620253,,
2345,0,17,0.0,0.0,0.0,0.0,0.0,,
2374,0,1,0.0,0.0,0.0,0.0,0.0,,
2399,4,41,0.0975609756097561,0.0,0.0,0.0,-0.0975609756097561,,
2400,0,35,0.0,0.0,0.0,0.0,0.0,,
2484,6,153,0.0392156862745098,0.0,0.0,0.0,-0.0392156862745098,,
2634,3,154,0.01948051948051948,0.0,0.0,0.0,-0.01948051948051948,,
2635,0,104,0.0,0.0,0.0,0.0,0.0,,
2636,4,62,0.06451612903225806,0.0,0.0,0.0,-0.06451612903225806,,
2720,0,4,0.0,0.0,0.0,0.0,0.0,,
2721,21,405,0.05185185185185185,0.0,0.0,0.0,-0.05185185185185185,,
2722,0,38,0.0,0.0,0.0,0.0,0.0,,
2723,0,51,0.0,0.0,0.0,0.0,0.0,,
2724,0,2,0.0,0.0,0.0,0.0,0.0,,
2729,1,5,0.2,0.0,0.0,0.0,-0.2,,
2753,0,4,0.0,0.0,0.0,0.0,0.0,,
2755,2,13,0.15384615384615385,0.0,0.0,0.0,-0.15384615384615385,,
2758,2,34,0.058823529411764705,0.0,0.0,0.0,-0.058823529411764705,,
2790,0,22,0.0,0.0,0.0,0.0,0.0,,
2791,2,24,0.08333333333333333,0.0,0.0,0.0,-0.08333333333333333,,
2819,0,5,0.0,0.0,0.0,0.0,0.0,,
2820,0,2,0.0,0.0,0.0,0.0,0.0,,
2821,0,1,0.0,0.0,0.0,0.0,0.0,,
2822,0,3,0.0,0.0,0.0,0.0,0.0,,
2823,0,5,0.0,0.0,0.0,0.0,0.0,,
2824,0,2,0.0,0.0,0.0,0.0,0.0,,
2827,0,2,0.0,0.0,0.0,0.0,0.0,,
2829,0,30,0.0,0.0,0.0,0.0,0.0,,
2831,0,11,0.0,0.0,0.0,0.0,0.0,,
2832,0,6,0.0,0.0,0.0,0.0,0.0,,
2853,2,73,0.0273972602739726,0.0,0.0,0.0,-0.0273972602739726,,
2854,8,145,0.05517241379310345,0.0,0.0,0.0,-0.05517241379310345,,
